SY 2018-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(SECTOR: PUBLIC,PRIVATE,SUCsLUCs, and PSO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Kindergarten,,Grade 1,,Grade 2,,Grade 3,,Grade 4,,Grade 5,,Grade 6,,Non-Grade (ES),,Grade 7,,Grade 8,,Grade 9,,Grade 10,,Non-Grade (JHS),,Grade 11 (ABM),,Grade 11 (HUMSS),,Grade 11 (STEM),,Grade 11 (GAS),,Grade 11 (MARITIME),,Grade 11 (TVL),,Grade 11 (SPORTs),,Grade 11 (ARTs & DESIGN),,Grade 12 (ABM),,Grade 12 (HUMSS),,Grade 12 (STEM),,Grade 12 (GAS),,Grade 12 (MARITIME),,Grade 12 (TVL),,Grade 12 (SPORTs),,Grade 12 (ARTs & DESIGN),
,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Region I - Ilocos Region,"56,850","53,645","55,378","50,210","44,771","40,682","50,272","46,787","53,573","49,378","57,379","52,553","58,462","52,790","1,879","1,255","60,460","53,845","55,396","52,811","50,846","49,954","46,572","46,862",-,-,"2,134","6,739","6,253","7,620","6,211","6,277","9,586","9,029",289,15,"17,940","13,392",-,-,122,100,"2,465","6,803","4,080","5,555","5,376","5,379","9,778","9,884",194,8,"15,130","12,175",16,1,113,88
Region II - Cagayan Valley,"42,989","40,517","40,770","37,458","33,163","29,866","36,783","34,178","39,283","36,465","40,083","37,494","39,308","36,649",988,699,"40,765","37,523","35,324","34,583","30,995","31,986","28,176","29,995",-,-,"1,673","4,558","5,155","5,583","4,119","4,625","6,027","6,507",202,8,"8,636","6,672",93,56,92,90,"1,665","4,228","3,205","3,692","3,477","3,924","6,131","6,770",163,11,"7,452","6,432",86,38,85,59
Region III - Central Luzon,"135,584","128,086","130,876","119,485","106,671","96,453","116,300","108,356","122,237","113,848","129,408","121,314","128,479","119,709","4,275","2,711","130,003","121,132","116,914","114,183","105,507","107,297","96,547","100,670",-,-,"9,505","20,769","12,399","16,941","14,987","12,949","16,079","15,290",425,23,"36,638","26,690",220,98,185,190,"8,110","18,871","7,853","11,914","13,506","11,514","14,316","14,664",475,31,"32,840","26,003",118,63,181,147
Region IV-A - CALABARZON,"176,955","166,394","173,034","158,665","140,734","127,163","147,986","138,703","161,188","151,626","166,406","155,958","164,843","155,103","6,430","3,747","176,747","162,220","155,399","151,018","137,862","139,374","125,045","130,182",-,-,"13,512","30,719","19,755","25,476","22,294","19,318","12,566","11,715",380,18,"44,015","32,686",251,111,446,574,"12,237","27,637","13,141","18,713","19,704","15,688","12,468","13,310",181,11,"37,547","28,798",225,109,351,438
Region IV-B - MIMAROPA,"41,350","38,474","41,429","37,580","34,425","31,043","37,658","34,637","37,865","35,415","39,096","36,698","38,406","35,939","1,000",677,"41,909","37,672","36,518","36,202","31,405","31,768","27,576","29,770",-,-,"1,160","3,272","3,176","4,166","2,563","2,633","6,552","7,541",471,48,"9,709","8,183",89,47,95,105,996,"2,829","1,806","2,590","2,083","2,044","6,528","7,906",308,28,"7,849","7,121",78,34,92,85
Region V - Bicol Region,"80,183","73,282","82,500","74,006","67,726","59,698","72,820","66,543","72,410","66,230","76,292","70,926","79,658","72,934","1,727","1,223","92,971","81,101","78,502","76,334","65,572","68,882","56,412","62,747",-,-,"2,356","6,231","3,035","4,967","4,125","4,185","16,081","21,719",326,21,"23,432","18,206",117,68,226,304,"1,998","5,646","1,843","3,406","3,459","3,251","13,592","18,223",218,7,"19,603","17,321",96,58,247,243
Region VI - Western Visayas,"87,935","82,313","90,329","81,572","73,485","66,301","82,777","75,996","86,051","78,781","91,283","83,582","94,047","86,259","2,978","2,023","107,001","94,019","87,223","84,947","73,613","75,426","66,513","71,015",-,-,"2,956","9,655","9,378","14,575","6,793","8,029","9,521","9,113","2,637",49,"29,171","22,059",71,80,245,266,"2,526","8,765","6,040","10,178","5,947","6,892","10,684","11,401","2,302",45,"23,011","19,815",57,33,161,214
Region VII - Central Visayas,"92,032","85,851","93,437","84,711","72,911","65,777","83,907","76,675","89,260","81,982","90,553","83,991","91,174","84,336","2,892","1,914","106,811","96,611","86,156","86,277","74,188","77,484","66,146","72,078",-,-,"3,342","9,449","6,137","11,552","9,430","8,959","14,479","15,635","1,516",76,"27,071","20,879",83,66,224,324,"2,586","8,092","3,708","7,883","8,092","7,477","12,578","15,242",801,43,"22,763","20,632",74,75,172,238
Region VIII - Eastern Visayas,"57,153","53,692","57,263","52,423","47,753","42,976","50,635","46,825","51,651","47,548","56,149","52,209","56,889","51,714","1,071",708,"62,093","55,369","54,810","54,040","46,545","48,647","39,746","44,271",-,-,"1,776","3,939","5,828","8,598","3,038","2,893","8,639","10,184",-,-,"16,684","13,260",73,60,16,22,"1,437","3,666","4,487","6,841","3,046","2,625","7,059","9,095",-,-,"13,545","11,624",19,19,46,21
