Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,NG (es Ng) Male,NG (es Ng) Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,NG (jhs Ng) Male,NG (jhs Ng) Female,G11 (abm) Male,G11 (abm) Female,G11 (humss) Male,G11 (humss) Female,G11 (stem) Male,G11 (stem) Female,G11 (gas) Male,G11 (gas) Female,G11 (maritime) Male,G11 (maritime) Female,G11 (tvl) Male,G11 (tvl) Female,G11 (sports) Male,G11 (sports) Female,G11 (arts) Male,G11 (arts) Female,G12 (abm) Male,G12 (abm) Female,G12 (humss) Male,G12 (humss) Female,G12 (stem) Male,G12 (stem) Female,G12 (gas) Male,G12 (gas) Female,G12 (maritime) Male,G12 (maritime) Female,G12 (tvl) Male,G12 (tvl) Female,G12 (sports) Male,G12 (sports) Female,G12 (arts) Male,G12 (arts) Female
Region I,56850,53645,55378,50210,44771,40682,50272,46787,53573,49378,57379,52553,58462,52790,"1,879","1,255",60460,53845,55396,52811,50846,49954,46572,46862,0,0,"2,134","6,739","6,253","7,620","6,211","6,277","9,586","9,029",289,15,"17,940","13,392",0,0,122,100,"2,465","6,803","4,080","5,555","5,376","5,379","9,778","9,884",194,8,"15,130","12,175",16,1,113,88
Region II,42989,40517,40770,37458,33163,29866,36783,34178,39283,36465,40083,37494,39308,36649,988,699,40765,37523,35324,34583,30995,31986,28176,29995,0,0,"1,673","4,558","5,155","5,583","4,119","4,625","6,027","6,507",202,8,"8,636","6,672",93,56,92,90,"1,665","4,228","3,205","3,692","3,477","3,924","6,131","6,770",163,11,"7,452","6,432",86,38,85,59
Region III,135584,128086,130876,119485,106671,96453,116300,108356,122237,113848,129408,121314,128479,119709,"4,275","2,711",130003,121132,116914,114183,105507,107297,96547,100670,0,0,"9,505","20,769","12,399","16,941","14,987","12,949","16,079","15,290",425,23,"36,638","26,690",220,98,185,190,"8,110","18,871","7,853","11,914","13,506","11,514","14,316","14,664",475,31,"32,840","26,003",118,63,181,147
Region IV-A,176955,166394,173034,158665,140734,127163,147986,138703,161188,151626,166406,155958,164843,155103,"6,430","3,747",176747,162220,155399,151018,137862,139374,125045,130182,0,0,"13,512","30,719","19,755","25,476","22,294","19,318","12,566","11,715",380,18,"44,015","32,686",251,111,446,574,"12,237","27,637","13,141","18,713","19,704","15,688","12,468","13,310",181,11,"37,547","28,798",225,109,351,438
Region IV-B - MIMAROPA,41350,38474,41429,37580,34425,31043,37658,34637,37865,35415,39096,36698,38406,35939,"1,000",677,41909,37672,36518,36202,31405,31768,27576,29770,0,0,"1,160","3,272","3,176","4,166","2,563","2,633","6,552","7,541",471,48,"9,709","8,183",89,47,95,105,996,"2,829","1,806","2,590","2,083","2,044","6,528","7,906",308,28,"7,849","7,121",78,34,92,85
Region V,80183,73282,82500,74006,67726,59698,72820,66543,72410,66230,76292,70926,79658,72934,"1,727","1,223",92971,81101,78502,76334,65572,68882,56412,62747,0,0,"2,356","6,231","3,035","4,967","4,125","4,185","16,081","21,719",326,21,"23,432","18,206",117,68,226,304,"1,998","5,646","1,843","3,406","3,459","3,251","13,592","18,223",218,7,"19,603","17,321",96,58,247,243
Region VI,87935,82313,90329,81572,73485,66301,82777,75996,86051,78781,91283,83582,94047,86259,"2,978","2,023",107001,94019,87223,84947,73613,75426,66513,71015,0,0,"2,956","9,655","9,378","14,575","6,793","8,029","9,521","9,113","2,637",49,"29,171","22,059",71,80,245,266,"2,526","8,765","6,040","10,178","5,947","6,892","10,684","11,401","2,302",45,"23,011","19,815",57,33,161,214
Region VII,92032,85851,93437,84711,72911,65777,83907,76675,89260,81982,90553,83991,91174,84336,"2,892","1,914",106811,96611,86156,86277,74188,77484,66146,72078,0,0,"3,342","9,449","6,137","11,552","9,430","8,959","14,479","15,635","1,516",76,"27,071","20,879",83,66,224,324,"2,586","8,092","3,708","7,883","8,092","7,477","12,578","15,242",801,43,"22,763","20,632",74,75,172,238
Region VIII,57153,53692,57263,52423,47753,42976,50635,46825,51651,47548,56149,52209,56889,51714,"1,071",708,62093,55369,54810,54040,46545,48647,39746,44271,0,0,"1,776","3,939","5,828","8,598","3,038","2,893","8,639","10,184",0,0,"16,684","13,260",73,60,16,22,"1,437","3,666","4,487","6,841","3,046","2,625","7,059","9,095",0,0,"13,545","11,624",19,19,46,21
Region IX,48422,44826,48465,44705,40741,37380,41418,38859,44165,41009,47225,44042,47115,44415,"1,674","1,077",54200,49660,42163,43338,33630,36994,27623,32094,0,0,"1,115","3,113","4,256","6,642","2,476","3,355","3,258","4,095",45,0,"13,932","11,444",28,44,51,64,985,"2,673","2,232","3,697","2,299","2,850","4,117","5,866",55,0,"9,723","8,684",40,32,22,23
Region X,64867,60312,60853,56004,52751,48010,55906,51385,58099,52868,58065,53850,58223,54993,"1,963","1,294",61119,57109,51374,52529,41178,44428,35764,39390,0,0,"2,396","6,108","5,208","7,619","4,032","4,371","6,230","7,782",563,18,"14,592","10,949",110,56,86,93,"1,828","5,300","3,016","5,288","3,498","3,713","5,456","7,616",466,18,"12,115","9,820",66,49,65,95
Region XI,62814,58883,62481,57810,49111,43992,57535,53423,60096,56082,58588,55068,61850,57745,"2,375","1,367",66974,62603,55224,55953,45659,49282,38120,42881,0,0,"2,193","5,179","4,732","7,396","3,952","4,599","5,498","7,629",202,22,"18,567","15,024",13,0,82,97,"1,868","4,567","3,058","5,466","3,417","4,024","5,196","6,909",116,9,"14,698","12,557",8,0,66,114
Region XII,61654,58072,58580,53898,48210,44797,52907,49820,56557,52890,57355,54104,55712,53276,946,623,58842,56258,49454,51596,40547,43776,35046,39094,0,0,"1,728","4,454","8,666","12,626","3,648","4,250","3,122","3,793",28,1,"16,865","11,143",127,55,103,138,"1,570","4,296","5,655","8,960","3,278","3,516","3,406","4,561",0,0,"12,429","9,051",99,63,64,101
CARAGA,37156,34644,35268,32132,29943,26993,32977,30396,33592,31262,34526,31884,33718,31330,954,671,35609,32811,32403,31670,27260,28426,23527,25040,0,0,"1,128","2,620","2,861","3,939","1,909","2,386","4,686","5,687",145,3,"10,850","7,670",43,18,48,44,998,"2,258","1,881","2,774","1,535","1,879","4,038","5,150",29,0,"9,003","7,111",26,4,26,37
BARMM,51985,52295,50206,49137,46713,46213,44024,43753,40514,41388,38351,40389,35372,38770,344,314,28453,32446,23487,28061,19705,24864,16223,22118,0,0,797,"1,095","1,831","2,397","1,289","2,105","4,217","6,224",0,0,"3,542","3,741",15,36,45,54,638,895,"1,115","1,631",972,"1,544","3,188","4,921",0,0,"2,701","3,225",35,22,24,41
CAR,20184,18934,18695,17101,16249,14507,17807,16318,18620,17433,19545,17975,19776,18164,458,238,21355,18835,18109,17861,16009,16763,14050,15806,0,0,855,"2,199","3,750","4,612","2,908","3,298","1,483","1,688",0,0,"4,780","3,560",53,36,42,50,887,"2,272","2,256","3,097","2,433","2,999","1,686","2,037",0,0,"4,034","3,424",35,20,40,67
NCR,123928,116197,123584,114119,107592,99837,113133,106867,118956,113310,123691,117814,122640,116645,"7,122","3,703",130043,121823,117730,116487,107489,109352,100015,106000,0,0,"17,385","33,111","15,226","20,807","25,322","20,934","10,853","10,803",488,23,"34,790","26,367",547,240,"1,012","1,676","15,293","30,239","8,976","14,716","22,156","17,852","10,239","10,440",247,10,"29,876","24,675",310,148,773,"1,365"
PSO,667,657,676,694,577,562,573,584,534,523,569,505,543,500,6,5,595,569,562,539,544,504,549,470,,,71,69,10,28,191,138,26,20,0,0,0,0,0,0,0,0,27,46,3,2,186,150,10,8,0,0,0,0,0,0,0,0
