Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ABM Male,G11 ABM Female,G11 HUMSS Male,G11 HUMSS Female,G11 STEM Male,G11 ACAD STEM Female,G11 ARTS Male,G11 ARTS Female,G11 Maritime Male,G11 Maritime Female,G11 TVL Male,G11 TVL Female,G11 Sports Male,G11 Sports Female,G11 Arts Male,G11 Arts Female
Region I,43095,39100,50892,47188,53963,49574,58421,52887,59982,53272,62209,54774,58231,54100,2095,1703,55997,51760,51909,49341,47377,46933,43978,45597,26,14,2361,6858,2502,3378,6354,5136,9649,10779,178,0,17248,13910,32,17,85,89
Region II,31788,28838,37816,34756,40189,36837,41348,37940,40819,37207,43322,38995,38542,36190,956,648,35670,34013,32529,32390,29369,30858,26427,28562,61,97,1447,4207,1906,2389,4080,3871,7568,8516,176,12,7496,6435,86,66,64,54
Region III,103188,93046,116797,108062,122963,113613,132146,121488,132430,120707,136574,123395,125980,118663,3671,2496,119938,113418,109679,107888,101289,101377,91719,96822,251,173,8781,20429,5670,9325,16933,12131,12964,14538,230,25,35512,28131,205,75,120,149
Region IV-A,131095,118141,145601,135606,161921,149873,168385,155251,169113,155150,180922,162209,161803,152570,6305,4182,151200,144467,138748,136099,129148,132263,117559,124536,727,621,11766,29244,7876,13004,24445,16996,13391,15002,67,3,41272,33032,193,49,350,448
Region IV-B - MIMAROPA,32429,29717,39381,35881,39330,36025,41173,37475,40780,36945,46191,39921,40767,38769,944,671,36707,34426,32648,32677,29159,30570,25292,28309,5,9,1092,3252,1379,1900,2538,2179,6803,8027,122,11,8938,7779,82,47,115,135
Region V,64892,58170,77394,69252,74643,67192,79091,72179,83631,74455,99117,84602,86010,80527,1418,1037,77685,73446,67332,68154,58561,62951,50001,56769,51,40,2172,5744,1284,2505,3303,2737,12817,17051,126,6,21664,18926,127,80,202,218
Region VI,63891,59280,85400,77447,87563,79338,93623,84255,98445,87547,114504,97091,94550,88734,2553,1705,84111,79491,76519,76364,68552,70165,61279,65884,110,104,2597,8446,3766,6562,6137,5688,13812,15852,977,25,27384,21987,59,27,155,246
Region VII,66208,61275,86857,77772,91223,82447,93212,84632,95872,85302,111473,97907,92421,88435,2655,1826,87422,82534,76340,76406,67090,70748,59656,66893,384,310,3016,8782,2529,5400,8066,6682,11535,15384,877,41,23877,20695,91,89,146,240
Region VIII,46956,42454,52718,48129,52819,48080,58713,53098,60111,53021,65921,57725,61121,57630,884,630,56775,53224,48802,49376,42666,44487,36306,40387,147,131,1885,4171,4095,6020,2824,2445,7948,9490,0,0,16183,13400,35,23,18,12
Region IX,39154,36072,42308,39162,44924,41459,49488,45003,51392,45869,59122,51738,47546,45927,1197,824,42117,40921,34533,36499,29736,32875,24279,28766,6,0,1079,3122,1422,2557,2688,3216,4078,6016,39,5,10943,9443,64,52,32,68
Region X,49402,45602,58261,52946,60371,53890,60937,54829,62442,56468,66326,59558,57856,56109,1398,937,50455,49099,42890,43987,37771,40956,32310,37238,406,300,2325,5976,2504,4260,4524,3760,6294,8313,0,0,14407,11792,50,15,102,104
Region XI,46435,42224,58629,54092,61823,56664,60898,55485,66719,59062,72601,64915,61367,58942,2074,1392,55353,53895,46444,47712,40229,43765,34044,38799,25,18,1854,4967,2196,4206,3847,3650,5187,6925,34,2,16197,14053,5,4,63,73
Region XII,46544,43567,54292,50816,58224,53642,59901,55018,59412,54638,62937,57652,54998,54129,911,654,49102,48575,42526,44190,37997,40315,32533,36915,179,146,1971,4937,4187,7273,3956,3692,3935,5054,0,0,16196,11205,144,106,76,102
CARAGA,27684,25628,34816,31393,34979,31872,36463,32564,36049,32080,38030,34150,35614,33480,988,751,31586,30810,27625,27664,24451,25436,21139,22932,0,2,954,2222,1218,2120,1857,1847,3753,5050,0,0,10094,7821,22,9,21,35
BARMM,41045,42722,55708,55301,50339,50954,46981,47968,42711,44211,38018,41524,32161,37211,1000,871,24484,29702,20445,26764,18163,24925,16032,22784,749,803,867,1221,953,1597,1039,1473,3203,5246,0,0,3518,4384,15,16,41,28
CAR,15554,14111,18478,16595,18908,17607,20115,18358,20662,18514,21994,19301,20020,18580,623,324,19701,17875,16704,17100,15059,16289,13431,15590,22,25,703,2149,1639,2358,2835,3005,1729,2380,0,0,4503,3700,64,43,62,104
NCR,96180,89579,113695,106577,120916,114120,127420,119306,126820,117834,128241,119540,119766,115837,6538,3562,120328,114425,110839,110008,104109,107080,97153,103010,1755,1637,16136,33462,7148,12465,27352,19304,10162,11948,75,5,32959,27488,596,265,797,1315
