Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,JHS NG Male,JHS NG Female,G11 ACAD - ABM Male,G11 ACAD - ABM Female,G11 ACAD - HUMSS Male,G11 ACAD - HUMSS Female,G11 ACAD STEM Male,G11 ACAD STEM Female,G11 ACAD GAS Male,G11 ACAD GAS Female,G11 ACAD PBM Male,G11 ACAD PBM Female,G11 TVL Male,G11 TVL Female,G11 Sports Male,G11 Sports Female,G11 Arts Male,G11 Arts Female,G12 ACAD - ABM Male,G12 ACAD - ABM Female,G12 ACAD - HUMSS Male,G12 ACAD - HUMSS Female,G12 ACAD STEM Male,G12 ACAD STEM Female,G12 ACAD GAS Male,G12 ACAD GAS Female,G12 ACAD PBM Male,G12 ACAD PBM Female,G12 TVL Male,G12 TVL Female,G12 Sports Male,G12 Sports Female,G12 Arts Male,G12 Arts Female
Region I,54244,49181,44952,40576,50339,46819,53901,49495,57953,52662,59381,53060,61167,54379,2091,1524,56912,53027,53465,50931,49362,48176,44562,45502,70,46,2625,7073,4192,5614,5446,5412,10420,10340,300,21,16449,13087,17,1,117,93,2193,6575,2303,3270,5932,4982,8371,9788,188,9,15065,12494,23,13,82,76
Region II,39683,36585,33254,29672,36963,34271,39613,36566,40599,37619,40068,36854,42133,38524,1081,705,36827,34586,33134,32964,30254,31185,27150,29540,53,40,1783,4362,3119,3553,3263,3625,6954,7383,180,13,7789,6676,89,37,76,53,1226,3581,1756,2248,3489,3390,6257,7410,154,11,6874,6124,85,55,50,38
Region III,126594,116187,106505,95803,115831,107775,122434,113493,130415,121061,130587,120048,133223,122347,4195,2783,120387,114154,112067,110110,103171,104556,94038,97419,122,97,8671,19397,8235,12196,13674,11522,15281,15492,585,45,35931,28660,115,59,158,156,7560,18263,4977,8246,15090,10955,11113,12965,229,27,29754,23987,134,56,109,124
Region IV-A,166953,153565,139217,124890,146787,136895,161562,150834,167480,155360,167100,154952,177446,161810,6422,4006,159554,150489,143517,141508,133215,133741,122062,128800,381,317,13126,28754,13562,18973,20677,16225,14288,14913,252,11,41367,31881,195,63,328,397,10519,27026,7501,12518,22117,15726,11550,13015,67,3,35617,28771,161,41,314,415
Region IV-B - MIMAROPA,39174,36147,35029,31323,38138,35104,38774,35658,40120,37038,39741,36481,44017,39099,918,640,38946,36898,34024,33258,30392,31535,26669,29112,43,20,1110,2956,2078,2859,2127,2014,6799,8290,319,27,8849,7918,90,51,96,91,922,2979,1194,1707,2155,1860,5632,6864,118,11,7444,6631,80,55,102,123
Region V,78452,71748,69837,60699,73942,67153,73533,66643,77545,71309,81616,73472,95337,83215,1939,1416,82919,76530,71588,71214,61881,65544,53446,59923,345,280,2136,5830,1853,3378,3445,3295,14264,18513,221,8,21413,18887,116,62,212,214,1997,5248,1205,2346,3166,2714,11169,15618,126,8,18498,16768,86,77,225,241
Region VI,86836,80129,70273,63251,83105,76229,86713,79102,92518,83831,96363,87027,110216,95864,2848,1983,91535,85701,78092,77342,71652,74017,62945,67201,49,32,2556,8783,6007,10034,6578,6749,12885,13375,2000,37,25186,21343,67,34,177,232,2396,7799,3342,6043,5692,5540,11523,14034,1353,35,22913,19157,53,26,142,218
Region VII,89948,82424,72516,65166,84165,76491,89832,81805,91621,83893,93179,84400,107408,96490,3125,2091,89791,85531,79234,79522,70456,73838,61981,68004,488,445,2741,8263,3604,7694,8416,7592,13819,16704,1681,76,23441,21547,89,75,186,237,2439,7808,2327,5079,7199,6087,10906,14891,494,30,20819,19742,66,61,107,179
Region VIII,56084,51679,48916,43596,51353,47181,52432,47786,57411,52680,58791,52487,63490,56853,994,699,59210,55017,51197,51051,44258,47025,38084,41761,17,15,1492,3779,4698,6976,3179,2685,7534,9543,0,0,14421,12325,1,1,11,3,1662,3873,3571,5517,2701,2359,6596,8260,0,0,13662,11670,34,20,15,13
Region IX,46591,43338,40917,37246,41390,38653,44399,41003,47900,44202,49357,45026,55284,50241,1367,910,45992,43815,37214,38777,31237,34266,26532,30709,40,19,978,2714,2258,3729,2280,2849,4625,6397,60,0,10377,9194,47,28,37,51,928,2676,1257,2247,1930,2308,3498,5061,30,3,8753,7663,28,20,39,75
