Region,K Male,K Female,G1 Male,G1 Female,G2 Male,G2 Female,G3 Male,G3 Female,G4 Male,G4 Female,G5 Male,G5 Female,G6 Male,G6 Female,NG (es Ng) Male,NG (es Ng) Female,G7 Male,G7 Female,G8 Male,G8 Female,G9 Male,G9 Female,G10 Male,G10 Female,NG (jhs Ng) Male,NG (jhs Ng) Female,G11 (abm) Male,G11 (abm) Female,G11 (humss) Male,G11 (humss) Female,G11 (stem) Male,G11 (stem) Female,G11 (gas) Male,G11 (gas) Female,G11 (maritime) Male,G11 (maritime) Female,G11 (tvl) Male,G11 (tvl) Female,G11 (sports) Male,G11 (sports) Female,G11 (arts) Male,G11 (arts) Female,G12 (abm) Male,G12 (abm) Female,G12 (humss) Male,G12 (humss) Female,G12 (stem) Male,G12 (stem) Female,G12 (gas) Male,G12 (gas) Female,G12 (maritime) Male,G12 (maritime) Female,G12 (tvl) Male,G12 (tvl) Female,G12 (sports) Male,G12 (sports) Female,G12 (arts) Male,G12 (arts) Female
Region I,51362,47897,45996,40374,56529,53289,54292,49735,44437,40355,49742,46502,52971,49154,"1,620","1,041",55654,50957,56540,51512,56011,52414,50560,50912,51,26,"2,154","6,264","10,689","11,567","7,113","8,581","8,847","8,330",57,3,"17,026","12,247",0,0,83,42,"2,133","6,450","8,259","9,333","6,590","7,304","7,744","7,378",174,8,"16,273","12,350",0,0,146,114
Region II,39083,36163,34871,30197,42670,40311,40021,37160,32833,29856,36342,34025,38537,36250,896,576,39534,36985,38132,35942,36992,36483,32330,33427,11,17,"1,389","3,765","9,011","9,489","4,855","6,531","6,109","6,087",34,5,"7,849","5,494",121,57,78,57,"1,484","3,821","7,064","7,640","4,454","5,625","4,848","5,090",92,2,"7,664","6,045",145,95,85,93
Region III,112805,105468,110494,97026,129776,123024,123221,114611,102284,94072,112317,106070,117152,111315,"3,873","2,320",117446,113439,118539,114009,114429,113656,103352,107324,96,79,"8,664","19,861","21,028","26,201","18,203","18,051","15,383","14,368",233,27,"29,000","21,075",102,50,187,187,"8,505","19,129","16,365","21,617","16,157","15,037","12,500","11,834",294,18,"29,288","21,129",87,44,194,182
Region IV-A,144238,135306,145801,130083,167717,159177,161224,150599,132911,122164,141031,134282,152657,146244,"5,771","3,296",150145,143934,153517,147888,153342,151504,136363,140995,319,205,"12,504","28,505","31,703","35,990","25,958","24,696","7,721","7,407",242,26,"34,847","25,249",191,98,371,417,"11,810","27,100","24,623","30,500","23,109","20,779","8,246","7,820",299,31,"35,006","25,293",230,106,437,554
Region IV-B - MIMAROPA,38522,35740,38307,33186,41487,38195,38845,36025,32916,30363,36004,33752,36338,34716,950,672,35168,33553,35446,33856,35479,34717,31588,33665,13,12,"1,317","3,465","6,701","7,891","3,503","3,730","6,593","7,706",148,20,"8,403","6,248",96,30,102,84,"1,214","3,172","4,592","5,716","2,791","3,043","5,584","6,713",259,33,"8,428","6,911",101,66,119,116
Region V,67026,61162,73670,63667,76000,69514,74014,68391,62881,56385,67743,63169,67858,63561,"1,241",809,63697,60428,68727,64749,72115,71011,61067,66612,57,28,"2,002","5,610","4,877","7,134","4,498","5,273","19,489","24,745",114,7,"17,848","13,722",99,37,264,251,"1,927","5,611","4,118","6,417","4,472","4,957","14,424","19,503",207,22,"18,705","14,695",112,69,270,327
Region VI,80092,74808,77592,68230,88656,82175,86654,79764,72161,65226,80566,74978,83502,77650,"2,898","1,908",88579,81075,92811,84052,95209,90108,77465,80782,28,24,"2,889","8,602","15,922","22,321","7,910","9,998","9,015","9,335",774,16,"29,407","21,151",63,26,146,175,"2,946","8,913","12,382","18,392","7,264","9,122","7,853","8,227","1,684",28,"26,445","20,246",103,52,173,205
Region VII,82368,76849,82078,72862,88682,82479,87115,80633,69507,63618,79792,74206,84529,79789,"2,245","1,364",82234,76365,83092,79190,86392,87422,72075,78917,30,5,"3,127","8,567","10,220","16,700","9,874","10,228","15,845","17,419",531,20,"23,367","17,289",112,70,221,234,"2,991","8,580","8,231","14,267","9,326","9,482","12,729","14,215",950,45,"23,404","18,178",76,67,274,308
Region VIII,53778,49080,51131,44618,56579,53001,54843,50948,46744,42175,49531,46291,50119,46942,832,537,54680,49817,54429,49692,52934,52293,46278,50328,0,0,"1,728","4,308","9,309","12,546","3,703","4,502","9,505","11,494",0,0,"15,344","12,193",65,61,23,27,"1,647","4,102","7,130","9,909","3,139","3,479","7,852","9,746",0,0,"15,247","12,361",54,51,37,58
Region IX,42130,38512,45776,40734,47157,43820,45316,42467,38876,36120,39861,37907,41460,39748,"1,781","1,146",43769,40863,44036,42320,43447,45172,34501,39505,10,23,"1,132","2,872","6,853","10,828","3,249","4,527","3,167","3,755",0,0,"14,022","11,693",42,19,44,50,"1,029","2,715","4,664","7,702","2,891","4,023","2,190","2,656",0,0,"13,018","11,062",29,16,76,80
